Instances,,,ScalableCA (L = 100),,,,ScalableCA (L = 250),,,,ScalableCA (L = 500),,,,ScalableCA (L = 750),,,,ScalableCA (L = 1000),
,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime
frv400,,578,614.5,1164.73,,527,558.8,1544.51,,519,537.3,1887.60,,513,526.8,2040.81,,503,519.1,2402.83
gps4020,,562,589.1,982.96,,490,521.2,1308.92,,482,498.9,1637.34,,470,490.4,1731.82,,470,481.9,2037.16
grg,,586,611.9,1166.19,,535,556.0,1527.99,,524,543.2,1826.25,,503,522.9,2186.77,,484,509.0,2781.96
h8300h_sim,,537,576.5,811.38,,488,509.7,1016.95,,479,493.2,1294.17,,464,476.6,1434.59,,453,469.7,1656.38
h8max,,592,622.7,1039.63,,536,571.8,1240.07,,519,542.1,1647.71,,510,528.4,1859.47,,505,519.7,2183.62
h8s_sim,,522,556.1,894.34,,480,512.0,1109.63,,468,483.0,1515.30,,458,473.4,1654.47,,448,467.0,1946.73
hs7729pci,,889,932.2,1344.55,,809,847.8,1699.59,,801,817.2,2071.76,,785,806.6,2191.35,,781,796.6,2510.25
innovator,,884,911.4,1110.33,,786,832.2,1427.93,,779,808.8,1734.81,,769,794.4,1848.06,,756,786.6,2131.77
integrator_arm7,,589,633.3,1197.67,,557,572.2,1484.13,,531,548.9,1851.58,,527,537.7,1950.21,,520,531.2,2224.15
integrator_arm9,,772,826.8,1114.90,,700,756.6,1393.27,,700,728.2,1710.27,,700,714.9,1907.99,,690,712.6,2096.68
ipaq,,561,585.2,1128.04,,509,530.1,1434.44,,491,504.7,1770.39,,487,498.8,1843.42,,478,492.6,2189.40
iq80310,,597,612.9,1184.48,,551,562.5,1464.79,,512,533.2,1848.41,,502,521.5,2049.99,,502,511.6,2443.01
iq80321,,588,615.2,1194.13,,545,562.5,1491.04,,519,539.0,2068.58,,500,529.1,2151.97,,499,518.7,2648.95
ixdp425,,597,618.4,1067.24,,549,559.1,1367.40,,516,543.0,1666.69,,509,530.3,1811.12,,495,524.0,2124.50
jmr3904,,546,562.6,975.84,,498,524.3,1140.37,,494,501.3,1499.53,,467,492.9,1567.58,,467,488.2,1801.19
jtst,,555,581.9,1137.97,,508,534.7,1479.68,,494,507.1,1899.10,,473,491.9,2221.44,,472,486.7,2489.85
linux,,653,700.4,1079.18,,584,622.6,1415.11,,567,604.6,1700.65,,559,583.4,1985.87,,556,573.8,2329.19
lpcmt,,538,571.9,1169.06,,504,531.9,1427.62,,483,505.4,1782.37,,467,495.7,2012.75,,467,488.6,2370.99
m5272c3,,646,669.8,1339.64,,578,607.1,1717.61,,546,572.4,2344.01,,537,554.1,2646.32,,530,551.6,2843.23
mac7100evb,,545,573.4,1045.13,,495,513.5,1339.71,,468,485.5,1839.00,,464,472.6,2097.99,,464,470.5,2278.41
mace1,,544,567.6,1000.29,,498,513.5,1297.52,,483,498.5,1529.01,,467,483.5,1747.65,,455,477.3,2032.56
malta_mips32_4kc,,623,654.5,1038.32,,569,590.5,1353.58,,530,569.4,1702.38,,530,554.1,1837.07,,519,542.9,2281.51
malta_mips64_5kc,,594,641.3,1097.53,,562,581.3,1360.45,,521,549.3,1879.10,,521,539.8,1972.57,,515,532.0,2268.41
mb93091,,582,614.2,1162.94,,535,560.8,1453.39,,517,540.4,1793.59,,507,531.8,1822.76,,506,517.8,2244.94
mb93093,,591,625.5,1069.97,,553,564.6,1377.18,,505,539.0,1766.53,,500,521.6,1957.16,,493,506.7,2376.23
mbx,,580,606.2,1396.92,,546,565.0,1655.69,,514,529.3,2281.79,,508,520.4,2402.87,,503,515.4,2735.83
mcb2100,,550,573.2,1215.68,,512,529.8,1476.81,,484,502.7,1984.41,,471,492.8,2181.22,,471,487.8,2434.83
moab,,622,674.5,1261.48,,570,596.7,1707.56,,531,564.8,2303.47,,531,551.8,2419.74,,525,550.7,2579.86
mpc50,,538,565.3,1013.57,,503,515.0,1246.76,,474,499.7,1566.09,,472,482.1,1757.39,,449,471.1,2109.04
nano,,639,679.9,1415.93,,598,617.6,1794.66,,560,590.6,2274.95,,544,577.8,2574.17,,542,564.9,3061.66
npwr,,613,626.3,1136.06,,532,553.4,1557.63,,502,532.6,2038.43,,488,524.2,2122.34,,488,516.1,2465.10
ocelot,,581,623.1,1194.17,,552,575.6,1475.46,,521,541.2,1939.87,,521,533.6,2020.17,,498,520.9,2521.21
olpce2294,,616,645.2,1361.55,,546,579.1,1779.66,,514,546.1,2361.51,,513,535.2,2518.85,,511,528.1,2885.34
olpch2294,,561,587.4,1115.92,,496,537.2,1404.72,,490,506.7,1899.44,,473,493.9,2093.36,,473,493.2,2259.40
olpcl2294,,634,645.8,1299.10,,563,587.8,1646.23,,544,561.4,2046.70,,519,539.2,2488.18,,509,532.8,2808.29
p2106,,561,580.3,1129.85,,500,525.3,1385.52,,488,508.6,1728.30,,464,491.2,1967.06,,464,488.4,2146.52
pati,,560,575.4,1200.36,,498,515.0,1656.36,,483,497.0,2000.21,,475,491.3,2087.59,,467,480.1,2589.20
pc_i82544,,602,657.8,1247.64,,555,576.7,1766.90,,526,556.3,2178.42,,513,537.9,2620.12,,513,533.3,2923.11
pc_i82559,,625,651.3,1263.29,,560,584.2,1638.46,,537,557.4,2139.95,,518,544.7,2288.97,,515,538.2,2629.16
pc_rltk8139,,636,696.7,1274.79,,586,623.2,1664.30,,583,597.3,2080.30,,569,585.9,2139.39,,546,571.5,2675.50
pc_usb_d12,,569,597.4,1272.56,,535,546.1,1621.08,,488,515.4,2172.52,,480,500.0,2462.21,,480,499.3,2619.11
pc_vmWare,,596,635.8,1212.41,,533,569.3,1567.29,,525,559.1,1841.73,,525,538.3,2078.60,,494,530.9,2378.38
phycore,,563,580.5,1212.91,,524,537.7,1529.23,,485,510.5,2001.40,,485,505.7,2101.64,,485,501.8,2372.36
phycore229x,,617,638.5,1525.12,,556,584.2,1902.00,,524,547.0,2491.26,,518,535.2,2693.44,,515,532.8,2944.22
picasso,,585,616.4,1125.37,,530,557.6,1453.69,,506,535.3,1828.65,,500,524.9,1904.03,,500,521.7,2124.97
pid,,534,567.1,1046.93,,482,521.8,1307.30,,472,494.1,1706.64,,463,489.6,1749.15,,461,483.2,2069.46
prpmc1100,,542,569.6,1032.07,,477,519.4,1282.80,,477,504.4,1574.57,,476,494.1,1582.62,,464,487.2,1819.81
psim,,522,552.3,893.48,,498,513.8,1098.97,,463,492.5,1327.30,,462,478.5,1500.63,,460,472.4,1721.57
rattler,,663,684.4,1449.54,,586,613.5,1919.16,,570,593.2,2314.48,,557,586.3,2377.56,,553,577.0,2740.29
ref4955,,548,574.7,1067.02,,499,519.2,1387.19,,478,497.2,1707.79,,478,492.1,1827.75,,474,487.9,2028.96
refidt334,,633,668.9,1273.35,,566,608.3,1633.28,,545,575.0,2162.69,,541,566.4,2229.80,,541,562.6,2495.40
sa1100mm,,539,575.3,1015.36,,507,529.7,1196.65,,485,498.2,1668.42,,473,492.9,1629.48,,472,486.1,1901.17
sam7ex256,,604,631.2,1385.03,,549,570.6,1798.13,,524,553.0,2141.08,,501,537.7,2371.81,,501,534.0,2645.50
se7751,,684,721.9,1291.96,,613,646.4,1738.21,,586,614.0,2305.60,,572,602.6,2472.97,,570,595.5,2810.93
sh4_202_md,,675,701.9,1247.53,,602,633.6,1618.16,,582,604.1,2127.70,,578,597.7,2213.87,,568,593.1,2511.76
sh7708,,770,788.7,1140.76,,711,730.2,1459.92,,686,710.0,1728.07,,677,702.2,1844.56,,664,695.9,2100.62
