Instances,,,ScalableCA,,,,SamplingCA,,,,CAmpactor,,,,Calot,,,,AETG,,,,ACTS,,,,JCunit,,,,TCA,,,,FastCA,,,,AutoCCAG,
,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime
e7t,,522,542.1,2238.22,,942,953.6,73576.31,,905,917.9,172063.07,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--
ea2468,,512,537.1,2499.14,,933,951.1,99424.83,,913,932.4,171011.96,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--
eb40,,478,505.0,1869.23,,859,875.9,63491.47,,813,830.0,172121.76,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--
eb40a,,486,511.7,1727.45,,857,869.4,64242.42,,813,824.3,171216.12,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--
eb42,,484,507.6,1638.87,,844,854.4,61591.20,,795,805.8,171681.15,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--
eb55,,490,502.8,2031.06,,868,880.8,68680.80,,826,840.7,171946.59,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--
ebsa285,,567,585.9,2156.67,,995,1008.2,74598.71,,961,973.3,171428.23,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--
ec555,,471,498.4,2119.82,,838,860.8,67114.58,,794,818.7,171522.95,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--
ecos-icse11,,517,531.1,1771.75,,896,926.8,67822.04,,856,886.4,171863.99,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--
edb7xxx,,522,550.0,1931.04,,920,931.0,69285.69,,878,891.4,171099.13,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--
edosk2674,,507,531.6,1692.28,,888,901.8,58515.58,,834,849.3,172114.30,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--
excalibur_arm9,,670,712.5,1547.06,,1200,1235.1,85407.69,,1174,1209.8,171224.70,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--
fads,,452,487.1,1394.64,,806,820.3,52149.73,,744,759.7,171191.04,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--
