Instances,,,ScalableCA's 3-wise CA,,,,SamplingCA's 3-wise CA,,,,CAmpactor's 3-wise CA,,,,SamplingCA's 2-wise CA,,,,CAmpactor's 2-wise CA,
,,avg 4-wise cov,avg 5-wise cov,avg 6-wise cov,,avg 4-wise cov,avg 5-wise cov,avg 6-wise cov,,avg 4-wise cov,avg 5-wise cov,avg 6-wise cov,,avg 4-wise cov,avg 5-wise cov,avg 6-wise cov,,avg 4-wise cov,avg 5-wise cov,avg 6-wise cov
eb40a,,99.90%,99.00%,95.62%,,99.95%,99.52%,97.64%,,99.95%,99.46%,97.37%,,95.60%,86.58%,72.55%,,87.36%,71.42%,53.44%
eb42,,99.91%,99.05%,95.75%,,99.95%,99.53%,97.63%,,99.95%,99.46%,97.37%,,95.57%,86.47%,72.36%,,87.18%,70.99%,52.91%
eb55,,99.90%,98.98%,95.52%,,99.95%,99.55%,97.71%,,99.96%,99.50%,97.49%,,95.73%,86.87%,72.95%,,87.22%,71.16%,53.13%
ebsa285,,99.90%,99.06%,95.92%,,99.95%,99.53%,97.75%,,99.95%,99.49%,97.58%,,95.60%,86.84%,73.04%,,88.05%,72.70%,54.96%
ec555,,99.90%,98.97%,95.47%,,99.95%,99.53%,97.61%,,99.95%,99.47%,97.35%,,95.46%,86.21%,71.95%,,87.11%,70.88%,52.74%
ecos-icse11,,99.90%,99.00%,95.59%,,99.95%,99.54%,97.70%,,99.96%,99.49%,97.48%,,95.71%,86.71%,72.57%,,87.44%,71.36%,53.24%
edb7xxx,,99.91%,99.07%,95.96%,,99.95%,99.54%,97.76%,,99.95%,99.49%,97.55%,,95.67%,86.96%,73.32%,,88.05%,72.69%,55.05%
edosk2674,,99.90%,99.02%,95.76%,,99.95%,99.52%,97.65%,,99.95%,99.44%,97.35%,,95.57%,86.69%,72.82%,,87.72%,72.06%,54.23%
excalibur_arm9,,99.92%,99.23%,96.61%,,99.95%,99.59%,98.06%,,99.96%,99.57%,97.97%,,96.18%,88.26%,75.46%,,88.74%,74.11%,56.94%
fads,,99.91%,99.01%,95.61%,,99.95%,99.51%,97.55%,,99.95%,99.42%,97.18%,,95.52%,86.30%,72.05%,,87.05%,70.78%,52.67%
