Instances,,,ScalableCA (delta = 10),,,,ScalableCA (delta = 50),,,,ScalableCA (delta = 100),,,,ScalableCA (delta = 500),,,,ScalableCA (delta = 1000),
,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime
frv400,,542,566.5,1814.88,,512,534.2,1808.25,,519,537.3,1887.60,,503,527.4,2367.90,,111,486.8,2998.58
gps4020,,499,522.8,1680.49,,489,511.6,1698.90,,482,498.9,1637.34,,469,488.3,2132.08,,473,489.9,2809.76
grg,,547,569.0,1836.28,,525,549.3,1757.28,,524,543.2,1826.25,,507,523.5,2386.27,,500,520.7,3040.93
h8300h_sim,,492,511.3,1431.90,,478,490.8,1453.00,,479,493.2,1294.17,,470,477.5,1763.30,,458,468.7,2447.97
h8max,,537,561.9,1803.78,,516,547.1,1647.88,,519,542.1,1647.71,,503,526.4,2181.18,,509,521.1,2889.10
h8s_sim,,484,510.9,1467.03,,477,492.7,1462.92,,468,483.0,1515.30,,446,467.6,1934.56,,458,467.6,2482.85
hs7729pci,,865,892.3,1905.44,,784,832.8,1887.12,,801,817.2,2071.76,,776,795.7,2755.09,,746,776.8,3767.28
innovator,,811,856.7,1722.55,,783,823.1,1573.29,,779,808.8,1734.81,,758,778.2,2372.52,,740,766.4,3439.56
integrator_arm7,,540,575.7,2033.79,,523,550.8,2019.22,,531,548.9,1851.58,,519,540.3,2473.80,,518,527.2,3164.30
integrator_arm9,,758,781.3,1645.07,,714,743.3,1541.60,,700,728.2,1710.27,,680,704.5,2317.75,,124,641.9,3204.74
ipaq,,508,524.9,1937.68,,488,511.2,1896.73,,491,504.7,1770.39,,480,499.8,2170.13,,479,491.3,2991.63
iq80310,,527,569.1,1942.53,,528,541.4,2057.68,,512,533.2,1848.41,,492,524.2,2416.73,,486,519.3,3102.68
iq80321,,540,565.8,1955.33,,528,557.9,1845.46,,519,539.0,2068.58,,517,530.1,2430.30,,105,476.9,3294.14
ixdp425,,544,569.8,1677.19,,523,546.0,1731.96,,516,543.0,1666.69,,498,524.5,2292.57,,502,517.9,3019.81
jmr3904,,490,528.5,1542.37,,483,502.3,1537.07,,494,501.3,1499.53,,464,490.5,1919.15,,103,445.4,2606.03
jtst,,510,524.4,1995.40,,473,501.5,2214.04,,494,507.1,1899.10,,486,496.8,2354.25,,469,486.5,3124.26
linux,,570,612.9,2037.76,,581,604.5,1835.10,,567,604.6,1700.65,,563,582.8,2372.60,,553,569.2,3175.77
lpcmt,,482,516.5,1808.53,,482,500.9,1905.03,,483,505.4,1782.37,,476,489.9,2298.93,,476,486.3,2975.26
m5272c3,,573,601.7,2365.27,,577,594.7,2016.23,,546,572.4,2344.01,,537,561.2,2812.66,,551,563.3,3554.16
mac7100evb,,501,516.2,1679.57,,481,504.2,1547.40,,468,485.5,1839.00,,472,490.0,2042.76,,473,484.2,2719.15
mace1,,491,520.4,1598.14,,478,503.8,1619.20,,483,498.5,1529.01,,476,488.0,2008.96,,468,479.6,2655.12
malta_mips32_4kc,,572,602.6,1707.58,,543,566.2,1676.44,,530,569.4,1702.38,,541,553.1,2126.91,,527,538.4,2951.94
malta_mips64_5kc,,552,591.7,1715.31,,535,563.6,1848.45,,521,549.3,1879.10,,517,544.8,2237.21,,529,544.1,2935.63
mb93091,,536,559.7,1881.80,,524,545.5,1876.78,,517,540.4,1793.59,,499,521.7,2297.20,,505,518.8,3161.74
mb93093,,524,561.4,1811.11,,525,545.8,1739.88,,505,539.0,1766.53,,511,524.8,2148.26,,496,518.7,2913.69
mbx,,531,551.3,2359.07,,519,542.7,2243.33,,514,529.3,2281.79,,516,526.3,2686.04,,492,515.3,3763.64
mcb2100,,490,517.3,2070.41,,481,506.0,1961.92,,484,502.7,1984.41,,471,489.3,2347.00,,467,486.6,3155.77
moab,,575,596.8,2072.63,,552,577.2,2121.79,,531,564.8,2303.47,,541,553.8,2586.09,,520,541.5,3620.35
mpc50,,491,523.6,1586.94,,486,501.1,1623.47,,474,499.7,1566.09,,453,476.1,2028.94,,464,473.8,2749.67
nano,,585,615.8,2435.31,,561,606.8,1874.09,,560,590.6,2274.95,,546,570.9,2997.79,,555,568.2,3800.20
npwr,,523,547.8,2089.81,,514,547.8,1775.61,,502,532.6,2038.43,,502,531.6,2283.27,,503,518.0,3158.81
ocelot,,545,580.5,1911.45,,524,554.3,1938.27,,521,541.2,1939.87,,514,529.8,2449.00,,506,529.8,3197.50
olpce2294,,551,581.1,2437.94,,533,558.7,2118.52,,514,546.1,2361.51,,517,538.4,2831.20,,516,534.9,3579.02
olpch2294,,505,527.2,2010.99,,497,516.8,1663.11,,490,506.7,1899.44,,476,496.2,2271.95,,480,489.5,3101.80
olpcl2294,,553,583.6,2154.23,,547,564.2,2002.25,,544,561.4,2046.70,,517,537.9,2830.09,,510,539.1,3447.28
p2106,,491,530.3,1829.58,,480,499.7,2120.35,,488,508.6,1728.30,,471,490.8,2343.11,,476,487.0,3104.12
